#Date;Inv;Psum;Pmax
21/9/21;1;3208;0
20/9/21;0;30874;0
20/9/21;1;3101;0
19/9/21;0;29791;0
19/9/21;1;2858;0
18/9/21;0;48537;0
18/9/21;1;4817;0
17/9/21;0;43959;0
17/9/21;1;4313;0
16/9/21;0;32263;0
16/9/21;1;3341;0
15/9/21;0;27238;0
15/9/21;1;2772;0
14/9/21;0;29534;0
14/9/21;1;3006;0
13/9/21;0;51004;0
13/9/21;1;5066;0
12/9/21;0;47558;0
12/9/21;1;4823;0
11/9/21;0;42256;0
11/9/21;1;4231;0
10/9/21;0;22502;0
10/9/21;1;2200;0
9/9/21;0;21142;0
9/9/21;1;2116;0
8/9/21;0;31203;0
8/9/21;1;3125;0
7/9/21;0;24169;0
7/9/21;1;2546;0
6/9/21;0;38628;0
6/9/21;1;3896;0
5/9/21;0;45185;0
5/9/21;1;4666;0
4/9/21;0;50591;0
4/9/21;1;5071;0
3/9/21;0;42058;0
3/9/21;1;4327;0
2/9/21;0;47886;0
2/9/21;1;4848;0
1/9/21;0;33678;0
1/9/21;1;3394;0
31/8/21;0;42603;0
31/8/21;1;4413;0
30/8/21;0;31591;0
30/8/21;1;3163;0
29/8/21;0;40524;0
29/8/21;1;4114;0
28/8/21;0;39240;0
28/8/21;1;4067;0
27/8/21;0;29514;0
27/8/21;1;3061;0
26/8/21;0;26303;0
26/8/21;1;2628;0
25/8/21;0;46549;0
25/8/21;1;4761;0
24/8/21;0;54349;0
24/8/21;1;5600;0
23/8/21;0;59180;0
23/8/21;1;6149;0
22/8/21;0;53598;0
22/8/21;1;5582;0
21/8/21;0;32643;0
21/8/21;1;3503;0
20/8/21;0;42679;0
20/8/21;1;4329;0
19/8/21;0;53003;0
19/8/21;1;5326;0
18/8/21;0;57148;0
18/8/21;1;5757;0
17/8/21;0;58533;0
17/8/21;1;5964;0
16/8/21;0;33406;0
16/8/21;1;3405;0
15/8/21;0;32892;0
15/8/21;1;3292;0
14/8/21;0;34690;0
14/8/21;1;3471;0
13/8/21;0;51109;0
13/8/21;1;5161;0
12/8/21;0;47177;0
12/8/21;1;4925;0
11/8/21;0;26644;0
11/8/21;1;2634;0
10/8/21;0;55903;0
10/8/21;1;5663;0
9/8/21;0;57818;0
9/8/21;1;5981;0
8/8/21;0;58672;0
8/8/21;1;5996;0
7/8/21;0;48598;0
7/8/21;1;4865;0
6/8/21;0;42687;0
6/8/21;1;4315;0
5/8/21;0;38838;0
5/8/21;1;3902;0
4/8/21;0;47256;0
4/8/21;1;4758;0
3/8/21;0;38207;0
3/8/21;1;3819;0
2/8/21;0;51155;0
2/8/21;1;5119;0
1/8/21;0;47015;0
1/8/21;1;4698;0
31/7/21;0;50077;0
31/7/21;1;5119;0
30/7/21;0;48886;0
30/7/21;1;4950;0
29/7/21;0;47148;0
29/7/21;1;4764;0
28/7/21;0;46743;0
28/7/21;1;4858;0
27/7/21;0;47831;0
27/7/21;1;5056;0
26/7/21;0;46779;0
26/7/21;1;4748;0
25/7/21;0;23544;0
25/7/21;1;2405;0
24/7/21;0;27337;0
24/7/21;1;2749;0
23/7/21;0;33873;0
23/7/21;1;3375;0
22/7/21;0;42186;0
22/7/21;1;4259;0
21/7/21;0;42683;0
21/7/21;1;4327;0
20/7/21;0;46380;0
20/7/21;1;4695;0
19/7/21;0;44003;0
19/7/21;1;4447;0
18/7/21;0;46634;0
18/7/21;1;4855;0
17/7/21;0;51815;0
17/7/21;1;5316;0
16/7/21;0;37717;0
16/7/21;1;3854;0
15/7/21;0;31222;0
15/7/21;1;3107;0
14/7/21;0;23742;0
14/7/21;1;2379;0
13/7/21;0;47013;0
13/7/21;1;4728;0
12/7/21;0;43508;0
12/7/21;1;4458;0
11/7/21;0;34237;0
11/7/21;1;3772;0
10/7/21;0;35853;0
10/7/21;1;3727;0
9/7/21;0;35198;0
9/7/21;1;3590;0
